id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
369,,,28,tab,,Trufen Extra  20tab,0.50,1.00,,30,
370,,,2,tab,,trufen 200,0.00,1.00,,30,
371,,,4.88,tab,,trufen 400 tab,0.00,1.00,,30,
372,,,4.88,tab,,trufen 600 tab,0.00,1.00,,30,
373,,,9.4,tab,,trufen plus tab,0.00,1.00,,30,
374,,,13.1,tab,,ultrafen -lc,1.00,1.00,,30,
375,,,2,tab,,zinc sulphate tab 10 tab,0.70,1.00,,30,
376,,,35,oint,,calmex oint,1.00,1.00,,30,
377,,,25,cream,,Fucicort cream,1.00,1.00,,30,
378,0,3/1/26,1,inhalar,,salbutamol inhalar,3.00,1.00,,30,
379,,,20,cream,,melanoo spot free,1.00,1.00,,30,
380,,,12,gel,,Ultracain 5% gel 30gm,0.00,1.00,,30,
381,,,7,cream,, silver Sulsadiazine cream 1% 50gm,1.00,1.00,,30,
382,,,30,cream,,Staphiderm cream 30gm,1.00,1.00,,30,
383,,,15,susp,,Megastop susp,1.00,1.00,,30,
384,,,8,susp,,flagella forte ,2.00,1.00,,30,
385,,,18,susp,,moclav 400mg 70ml,0.00,1.00,,30,
386,,,17,susp,,nurofen susp,0.00,1.00,,30,
387,,,13,syrup,,orolin,0.00,1.00,,30,
388,,,4,syrup,,panda susp,1.00,1.00,,30,
389,,,9,syrup,,pulmadrin syrup exp,1.00,1.00,,30,
390,,,9,syrup,,pulmadrine ,1.00,1.00,,30,
391,,,19.7,syrup,,Tussibal hony,3.00,1.00,,30,
392,,,23,syrup,,Tussibal EXP ,2.00,1.00,,30,
393,,,9.4,syrup,,ultrafen plus,1.00,1.00,,30,
394,,,22.5,susp,,zitrocin 22.5,0.00,1.00,,30,
395,,,10,solution,,broncholin s,0.00,1.00,,30,
396,,,11.5,syrup,,ivypront syrup shaheen,2.00,1.00,,30,
397,6.2911E+12,9/1/28,5,supp,,adol 125mg supp ,0.80,1.00,,30,
398,,,8,amp,,cortiplex amp,0.67,1.00,,30,
399,,,2,amp,,decort amp Bpc,1.00,1.00,,30,
400,,,12.5,cosmatic,,Gillet shave gel,1.00,1.00,,30,
401,,,5.5,supp,,dolphin 12.5,0.30,1.00,,30,
402,,,5.5,supp,,dolphin 25,2.00,1.00,,30,
403,,,11,supp,,glcerin child supp,0.00,1.00,,30,
404,,,11,supp,,glycerin adult,0.30,1.00,,30,
405,,,20,amp,,buvacaine,1.00,1.00,,30,
406,,,3.7,amp,,scoutyl amp,2.00,1.00,,30,
407,,1/1/27,10,spray,,nirvin 0.05 spray,1.00,1.00,,30,
408,,,10.7,spray,,normasal spray,1.00,1.00,,30,
409,,8/1/29,2.22,supp,,Otamol 150 supp 5supp,7.40,1.00,,30,
410,,6/1/29,2.22,supp,,Otamol 300 supp  5supp,17.40,1.00,,30,
411,,,12.67,spray,,Manovipercaine (lidocain) spray,0.00,1.00,,30,
412,,,0.3,other,,Condom ,1431.00,1.00,,30,
413,,,75,other,,جهاز ضغط,2.00,1.00,,30,
414,,,6,other,,فحص حمل,3.00,1.00,,30,
415,,,0.5,other,,شاش لفاف,0.00,1.00,,30,
416,,,3,other,,Transparent adhesive tab,2.00,1.00,,30,
417,,,,,,,0.00,1.00,,30,
418,,,2,other,,مشد,10.00,1.00,,30,
419,,,1,other,,داعم اصبع,7.00,1.00,,30,
420,,,2,other,,مشد كبير,0.00,1.00,,30,
421,,,2,other,,لاصق,1.00,1.00,,30,
422,,,8,other,,مشد رسغ,1.00,1.00,,30,
423,,,15,other,,شاش فازلين,0.95,1.00,,30,
424,,,0.05,other,,سرنجات 5سم ,394.00,1.00,,30,
